Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
SMT 3.0: Stakeholder Review,AR-106,94548,,Story,Completed,AR,Agile Radioedit,software,howella,,,P2 - Major,,,,,11/Feb/15 3:16 PM,12/Mar/15 12:33 PM,03/May/19 9:54 AM,,,,,,,,,,0,,I am Michael Reichard and I want to review SMT 3.0 so that I can sign off on Alex's work and send it to QA.,,amamut,con-nyc1tlc,howella,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SMT 3.0 in a reviewable environment.
SMT 3.0 pointed to the right bucket.
Michael Reichard signs off on SMT 3.0 being ready for QA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzopgn:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collections: Standard Collection Metadata,AR-104,94518,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 2:01 PM,06/Jul/15 3:41 PM,03/May/19 9:54 AM,06/Jul/15 3:41 PM,,,,,,,,,0,,"As a National Editor, I want to manage the collection data for one of our artist collections",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Collection metadata should contain the following:
Ownership field
Secondary Tags (subscriptions) - Tags whose content should be included in the collection
Hero binary (image or video) - asset selector
Hero hex code for background color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzolev:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social metadata,AR-103,94510,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 1:38 PM,12/Jan/17 4:15 PM,03/May/19 9:54 AM,14/Sep/15 9:05 PM,,,Site Manager,,,,,,0,,I'm a National Editor and I want to add social media details to a Collection.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to modify collection metadata is permissioned for that collection tag
Allow User to add
iHeartRadio 
Facebook Page Username 
Facebook App ID 
Facebook Fan Page ID 
Facebook API Key 
Facebook Ap Secret 
Twitter Page Username 
Twitter Page Password 
Twitter App ID 
Twitter Consumer Key 
Twitter Consumer Secret 
Twitter Access Token 
Twitter Access Token Secret 
Google+ 
Instagram 
Myspace 
Youtube Page Username 
Foursquare Page Username 
Flickr 
Stumbleupon 
Pinterest 
Vine 
Keek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbltb:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collections: Managing Right Rail Local Related Content,AR-102,94500,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 12:53 PM,18/May/15 10:57 AM,03/May/19 9:54 AM,13/May/15 3:38 PM,,,,,,,,,0,,"I'm the Program Director for Z100 and want to position local related content when viewing the Ryan Seacrest Collection through Z100.com. Though I'm not permissioned for this collection, I'm able to add local content for my station that I want to be positioned in the Ryan Seacrest Collection right rail.",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,AR-99,,,,,,,,,,,,,,,,,,,,,,,,AR-662,,,,,,,,,,,Same concept as article right rail but at collection level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivo7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"13/May/15 3:38 PM;1110204;Come up with interface for content, collection and embed for right rail.",,,,,,,,,
Collections: Managing Collection Names,AR-101,94498,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 12:43 PM,18/May/15 1:45 PM,03/May/19 9:54 AM,18/May/15 1:45 PM,,,,,,,,,0,,I'm the program director for a local market. We have a sponsored collection of station performances called the Dunkin Donuts Music Lounge. This collection contains various musical performances filmed in our studio for small groups of contest winners. Our sponsorship with Dunkin Donuts is ending at the end of the month and Pepsi will become the new sponsor. I want to change the name of the collection and tag for this sponsorship change without effecting the content already published to that collection. ,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to manage collection settings if permissioned for the applicable tag
Allow user to update the name of a collection
Display updated name when viewing collection
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzolen:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike: Canonical URL,AR-100,94464,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 11:49 AM,18/May/15 11:06 AM,03/May/19 9:54 AM,13/May/15 3:47 PM,,,,,,,,,0,,Identifying canonical source for published content for optimal seo ranking.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REAP-1015,,,,,,,,,,,Is content given a canonical URL when published? How is this determined if published to multiple targets?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivof:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,13/May/15 3:47 PM;1110204;add origin field to content. tag lookup + tags for national,,,,,,,,,
Managing Right Rail Related Content on Collections,AR-99,94446,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 10:41 AM,18/May/15 10:56 AM,03/May/19 9:54 AM,13/May/15 3:38 PM,,,,,,,,,0,,"I'm a National Editor and I want to add related content to a collection that is to be displayed in positions surrounding the collection when the collection is being viewed,",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-662,,,,,,,,,,,Same as article ticket but at a collection view level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivnz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"13/May/15 3:38 PM;1110204;Come up with interface for content, collection and embed for right rail.",,,,,,,,,
Explicit exclusion of content from a collection,AR-98,94438,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,11/Feb/15 10:12 AM,02/Jun/15 6:36 PM,03/May/19 9:54 AM,02/Jun/15 6:36 PM,,,,,,,,,0,,"I want to exclude a piece of content from being displayed in my collection because I don't feel its appropriate, but wish to keep the tag for this content in my collection.",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to manage the collection settings if they are permissioned for the associated tag.
Allow user to visualize a summary of all content being returned in that collections query.
Allow user to mark content to be excluded from a collection.
Remove selected content from being displayed in a collection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuxb:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Jun/15 8:24 PM;1110204;User will need to go in and remove tag to exclude content,,,,,,,,,
Tuning a Collection's Tags,AR-97,94429,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,howella,1110204,1110204,11/Feb/15 10:04 AM,10/Jul/15 7:08 PM,03/May/19 9:54 AM,10/Jul/15 7:08 PM,,,,,,,,,0,,I'm a National Admin and I want to add additional tags to a collection so that content for those tags is visible when viewing my collection.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to manage collections setting only if they are permissioned for the associated tag for that collection (primary tag).
Allow the addition and removal of secondary tags on any collection.
Adding a tag adds content for that to to the collection
Removing a tag removes content for that tag from the collection
When viewing a collection, query and return content for the attached tags",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbk3r:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _11_KONGUR,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,08/Jul/15 5:14 PM;1110204;Please verify that adding additional tag targets shows content for those tags in the collection.,,,,,,,,,
Re-Publish Content,AR-96,94360,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,,,10/Feb/15 5:00 PM,22/Apr/15 4:42 PM,03/May/19 9:54 AM,20/Apr/15 5:11 PM,,,,,,,,,0,,"I am Tracy Herbster, National Editorial Director, and I want to easily access recent photos, galleries and videos so that I can select ones to promote via the national genre collections.",,1110204,con-nyc1tlc,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User can apply any Publish Target they are permissioned for to any previously published content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivhz:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent Articles,AR-95,94357,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,,,10/Feb/15 4:58 PM,12/Jan/17 3:40 PM,03/May/19 9:54 AM,06/Jul/15 4:29 PM,,,Content Tool,,,,,,0,,"I am Tracy Herbster, National Editorial Director, and I want to easily access recent artist news articles so that I can select ones to promote via the national genre collections.",,1110204,con-nyc1tlc,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A National Editor should be able to see all articles published in the last two weeks.
A National Editor should be able to search all published articles for articles with a specific Publish Target that has been applied to them, including Artist Publish Targets.
A National Editor should be able to apply any Publish Target they are permissioned for to any previously published article.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1cv:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Jul/15 4:29 PM;1110204;ticket no longer relevant,,,,,,,,,
Shell: Check Permissions on Deep Linking,AR-93,94342,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,,,10/Feb/15 4:17 PM,16/Jul/15 1:19 PM,03/May/19 9:54 AM,09/Apr/15 1:34 PM,Link Platform Release,Link Platform Release,,,,,,,0,,"I am a user with all my app permissions removed.  I want to use the direct link to an app I bookmarked to publish an article but I should not be able to because the system should check my credentials when deep linking directly into an app in addition to seeing an app in the app store, so that we can prevent users from accessing things they are not authorized for.",,1110204,con-nyc1tlc,tdrapeau,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A user who does not have app permissions for an app should not be able to open an app by deep linking to it.
A user who once had app permissions for an app but had them removed should not be able to open an app by deep linking to it.
The users above should be presented with a screen directing them to contact Customer Operations to request app access.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbqxj:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _05_E,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,08/Apr/15 10:39 AM;tterry;Already done,,,,,,,,,
Primary listening opportunity,AR-92,94283,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 12:59 PM,22/Apr/15 4:42 PM,03/May/19 9:54 AM,21/Apr/15 3:50 PM,,,,,,,,,0,,I'm a National Editor and want to insert a listing opportunity into a piece of content to drive the eyes to ears initiative.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-88,,,,,,,,,,,,,,,,,,,,,,,,,,,User can select the tag is to be used by Flint as the primary listening opportunity for that content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivgn:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Apr/15 4:48 PM;1110204;will he handled by content sniffing and AR-88,,,,,,,,,
Content Tool: Filtering Content,AR-90,94259,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,1110204,1110204,10/Feb/15 11:29 AM,12/Mar/15 12:33 PM,03/May/19 9:54 AM,,,,,,,,,,0,,As a National Editor I want to filter my search results to find the appropriate content,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to filter for Content by Title
Allow user to filter for Content by Tags
Allow user to filter for Content by Creator (user)
Allow user to filter for Content by Content type
Allow user to filter for Content by Vendor
Allow user to filter for Content by Publishing Status
Allow user to filter for Content by Publishing Date
Allow user to filter for Content by Created Date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzolbj:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching & Filter Content,AR-89,94258,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:28 AM,29/Apr/15 3:59 PM,03/May/19 9:54 AM,29/Apr/15 3:59 PM,,,,,,,,,0,,"As a National Editor, I want to search for content created across the network.",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to search & filter for Content by Title
Allow user to search & filter  for Content by Tags
Allow user to search & filter  for Content by Content type
Allow user to search & filter  for Content by Publishing Status
Allow user to search & filter  for Content by Publishing Date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivin:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _06_ FERRETCANNON,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embedding External Content,AR-88,94257,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:28 AM,19/May/15 3:49 PM,03/May/19 9:54 AM,19/May/15 3:49 PM,,,,,,,,,0,,I'm a National Editor who wanted to embed external content into an article.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Users can paste supported embed code into an iframe container
Support embed code for Facebook
Support Embed code for Youtube
Support Embed code for Twitter
Support Embed code for Instagram
Support Embed code for Vine, 
Support Embed code for iheartplayer, 
Support Embed code for the talk widget. 
Support Embed code for Listening opportunity
Ignore unsupported code",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzboxj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,22/Apr/15 9:52 AM;1110204;example iHeartRadio Widget: http://rrowe-dv.clearchannel.com/widget/?env=www&showId=18894574&episodeId=27208681,,,,,,,,,
Content Tool: Linking to existing published content within new content,AR-87,94256,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:26 AM,15/Sep/15 8:46 PM,03/May/19 9:54 AM,15/Sep/15 8:46 PM,,,,,,,,,0,,I'm a National Editor who wants to link to recently created related content within the body of the content I'm creating to drive additional views,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User sees related content based on the tags entered
Content created for the entered tags by the current user is prioritized in the list
User can search for related content in the content tool
User can select and insert a link to related content into the body of the new content they are creating
User can enter link text that is appropriate for the context of their content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziv1z:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creating a calendar event content type,AR-86,94254,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:25 AM,18/May/15 11:40 AM,03/May/19 9:54 AM,13/May/15 4:40 PM,,,,,,,,,0,,"I'm a National Editor who wants to create and publish a new calendar event

Article Functionality+
User can Define the Event Type 
User can enter an Event Title 
User can add a Venue 
User can set the Event Date 
User can enter the Duration (days)
User can enter the Event Start Time 
User can define the recurring Event Frequency (daily, weekly, monthly, etc)
Users can add an event link",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How do we handle recurring event frequency?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivp3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,13/May/15 4:40 PM;1110204;recurring is complicated but everything else is good to go,,,,,,,,,
Content Tool: Creating Lists,AR-85,94252,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:23 AM,15/Sep/15 5:19 PM,03/May/19 9:54 AM,15/Sep/15 5:19 PM,,,,,,,,,0,,"As a national Admin, I want to insert a list into an article
",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can insert 1x1 - 10x10 table into content
User can Add new Columns before and after existing columns
User can Add new Rows before and after existing columns
User can Delete Columns
User can Delete Rows
User can adjust properties of cells, rows and colums",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziv27:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Tool: Publishing Positioned Content,AR-84,94251,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:22 AM,12/Jan/17 3:40 PM,03/May/19 9:54 AM,06/Jul/15 4:30 PM,,,Content Tool,,,,,,0,,I'm a National Editor who wants to publish content to the right rail of a specific article because it is related to the content I am writing. ,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can link an existing piece of content to be displayed in a position when viewing a primary piece of content
User defines the position in which the linked content should be displayed
Linked content displays in user defined position on a page when viewing the primary content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1dj:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Jul/15 4:30 PM;1110204;ticket no longer relevant,,,,,,,,,
Scheduling Content Publishing Date & Time,AR-83,94248,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:18 AM,21/Apr/15 2:29 PM,03/May/19 9:54 AM,21/Apr/15 2:29 PM,,,,,,,,,0,,I'm a National Editor and I want to schedule a piece of content to publish at a specific date & time.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can select a start & end date greater than or equal to the current date
User can select a start & end time in the future
Allow for schedule to be changed up until the scheduled publishing date & time
Allow user to bypass a schedule and publish immediately",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbqzj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _05_E,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Inserting assets via the content tool,AR-82,94245,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:15 AM,07/Apr/15 2:25 PM,03/May/19 9:54 AM,07/Apr/15 2:25 PM,,,,,,,,,0,,"I'm a National Editor and I want to insert assets into my content via the content tool.
",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,AR-70,AR-69,AR-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can access Assets from within the content tool
User can search assets from within the content tool
User can select and insert assets from within the content tool
User can select the Asset to be inserted in the content
User can select the location where the content is to be inserted
User can select the display size of the asset
User can wrap text around an asset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbrev:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _04_D,,,,,,,,,,,,2.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
